coe,quad,exploit,explore,lin,fast
7717,1891,3570,0,12398,10493
2858,1884,8474,25632,4087,11245
2923,6701,540,9948,0,681
1037,0,895,0,2637,0
2418,0,0,3461,6548,0
797,4537,0,14761,12408,11490
0,0,1244,4854,2212,3871
12989,9415,5841,5111,0,0
2960,0,0,0,7546,11835
795,6252,7838,3567,0,4252
7805,1659,2105,9610,2643,0
5761,420,16700,0,670,1877
11826,3840,5809,1082,6968,9318
0,5351,3159,886,0,0
0,8507,0,4419,0,2187
0,7644,1930,2890,10127,5113
10501,2368,6977,2552,1396,429
11237,11164,2947,10834,4269,0
9674,2449,14672,2156,9745,666
3720,12753,9021,0,1652,7891
2150,0,0,0,6623,0
1391,11502,10906,2171,0,431
9329,3228,0,4078,7236,7555
0,12365,1265,0,2381,666
12472,1160,0,0,0,14821
14936,0,0,542,2281,2876
2204,4888,3936,9654,0,14336
14261,1415,2498,0,0,12707
11223,6968,0,0,12663,1703
665,0,3205,2147,5492,0
9736,0,0,8125,6533,4600
430,1908,8712,6893,7560,7803
7368,1281,6496,7979,9345,671
2210,7833,0,4901,13216,0
0,549,4435,2746,2856,6306
6426,5737,0,7103,9559,15336
0,5993,7998,8089,12592,2526
4132,2921,8026,10228,651,2371
674,0,0,4672,6593,914
7730,0,713,0,0,6956
8477,2234,0,9758,0,5391
10244,0,0,11913,17104,0
3218,0,2249,0,12403,13191
11753,7358,6699,720,4524,4972
3525,1268,14957,0,9206,3170
2495,18107,2645,4154,5386,1396
0,10329,0,0,17991,3678
1412,6534,0,2567,5417,7275
0,0,0,0,0,2959
0,10554,0,0,2241,0
0,9281,356,6988,4568,5840
7545,8427,10609,0,1744,0
0,8788,2275,0,11067,0
4642,0,2702,3768,2563,4082
4572,9152,1779,910,1882,7721
8956,9747,7993,1638,8293,0
5298,0,0,0,2992,10047
0,2620,5548,0,3313,8497
1655,10208,0,4165,7987,0
4493,0,1245,0,9737,12206
6690,436,7637,0,15447,0
4505,8049,6610,3071,7622,1871
0,6837,3723,2377,5764,0
0,8859,11076,0,6282,6684
3637,7053,7340,6781,6995,3706
2705,6132,0,740,14075,792
17532,5403,7811,14588,9449,7000
6662,5161,5455,0,0,1873
13655,668,3271,9710,7923,13736
3828,3186,538,6297,910,1376
4491,2895,2537,0,10468,1498
0,1135,6508,8930,7356,9509
3992,0,0,3230,5933,16344
3867,5131,8384,2522,2425,9450
15047,9054,0,5524,442,0
16575,8087,1261,4798,10563,10978
2341,7281,7433,11729,1644,11718
10337,0,13851,5134,9945,13242
24900,2198,0,9883,8554,10466
3285,11179,0,0,1620,1889
0,5191,4754,0,10061,0
0,0,13886,0,0,2117
8291,549,0,5214,10900,3194
2102,7015,1773,0,3723,2698
12524,2613,3097,3977,13051,2686
5470,0,0,4831,0,19495
2884,0,12091,0,3970,10394
1386,1892,4070,0,13357,8865
3419,6524,5157,1660,3624,9190
1611,9733,7358,11978,8101,6990
9333,3804,0,912,9240,9352
13969,0,0,10593,0,0
0,2211,10943,0,4369,6208
679,4065,8273,3954,0,5448
3462,14398,0,11783,10195,0
2653,0,728,3421,0,2684
11319,1645,8814,3905,14548,6063
5114,1667,1417,2514,9598,0
5918,0,8472,2015,3404,11535
8961,8958,0,12089,0,0
8157,550,5287,8245,9003,4219
5388,20837,0,0,3956,553
661,0,9721,0,0,10141
14961,3383,6473,11618,1161,1635
9797,12248,2324,0,8334,4296
0,6931,5560,7657,8340,8829
7789,1162,1618,6888,2141,6954
0,2626,1991,1815,1257,1251
0,3344,9176,3206,0,7157
669,3726,6026,0,14142,11719
550,7456,0,5073,6444,3014
0,669,3737,6997,4269,20185
0,2382,3585,17987,8411,11892
2367,2646,6393,10163,6443,1388
7603,17122,0,10853,0,6207
917,6326,3568,7253,7599,12557
12426,7227,0,0,0,3167
11342,435,17775,1070,7063,4177
8746,1170,0,7747,5480,0
7390,0,12349,11225,0,8362
2216,0,13907,0,0,0
11856,11618,8628,5765,0,5188
3525,6552,6395,365,4385,2607
13069,5079,6531,1079,3149,4928
0,5163,5832,0,0,3181
0,6916,1793,5939,186,0
2881,0,9674,3592,8514,1156
445,0,6213,0,0,2233
0,6124,7743,12469,4922,0
7137,10735,6441,18942,5436,6992
7425,2371,714,13072,4500,9787
0,7200,0,1811,904,0
2172,3134,8550,11480,12596,0
3156,8735,1435,7437,7672,12754
11183,0,3789,1268,5393,2136
1639,0,0,0,6428,420
2184,1035,0,0,795,3803
6282,6440,6516,8342,0,13748
10395,6129,0,11791,10463,0
2921,2883,6763,6455,9625,0
1027,0,3228,2558,14654,7275
3385,677,4071,7310,0,9887
8112,0,0,0,0,0
3691,3650,2558,2182,6229,2380
3375,12861,8294,6888,10881,904
9563,0,5037,186,0,12294
2376,5273,708,0,3207,0
0,0,12564,2144,7597,0
5108,186,11368,2235,1879,6310
0,0,0,186,17011,4959
6835,0,10203,2006,6459,12687
8693,8313,8722,13622,0,3860
12541,11258,0,0,917,2133
4694,10499,0,0,2242,9816
0,4036,3660,0,5962,0
1281,0,0,11747,6977,0
8977,9901,7490,0,3974,1381
0,3440,4830,4210,0,0
0,10575,2646,3486,0,4596
11439,12170,7555,6754,904,9051
1890,905,9561,13987,1155,12417
8408,2960,11992,10215,0,0
1036,7655,6501,0,4155,0
12474,0,2815,11295,17372,4741
8275,5008,8135,7285,10416,8573
7425,3645,0,0,9634,3070
9838,8557,0,4120,12439,3115
3843,27515,7897,0,6159,0
0,3140,0,1832,0,1487
2435,0,1766,5350,6655,14396
14692,0,12228,2328,2381,0
1715,12323,0,8354,14320,3148
12506,14005,6578,0,6029,4846
9557,0,0,5425,1386,8855
6787,0,10322,1768,0,1741
13188,11620,0,11102,0,0
0,2976,0,2010,0,0
11956,7965,1947,12518,2939,0
7521,11844,0,0,0,8997
0,7518,5903,3036,6617,1378
0,0,0,0,7900,9100
3459,6164,5794,2898,3475,8424
930,2204,7989,0,10159,1756
5182,0,3484,10224,12329,1878
5487,0,2167,11614,7887,6834
10815,1634,6112,539,0,0
2642,8717,2358,1622,7216,12615
0,10990,10275,1456,2620,7152
14845,309,3562,0,0,187
0,2370,0,3061,9650,9773
7482,14868,5747,0,4919,1900
12622,792,2161,0,19069,4915
6925,5969,10170,15717,1978,0
3763,551,1095,13536,11801,9207
8570,3701,7841,10868,14227,2231
12724,7564,9628,363,916,0
2411,0,10426,2364,0,0
1148,4709,1604,6917,10995,2379
0,0,1610,1848,6809,2389
5234,3693,7268,7634,13517,0
11492,676,3606,914,15451,8509
9525,3824,0,0,3696,0
3852,1493,2151,1267,0,6388
8183,900,9346,0,1156,3370
0,10850,0,6221,6732,3136
0,907,3778,186,9227,17607
2783,8218,1586,7478,11483,671
5172,4595,0,3094,5003,9836
7381,15264,1445,0,11115,5677
3965,0,9148,10293,0,0
0,2693,2561,0,678,3739
0,0,11619,3035,1034,2464
0,3877,1063,11024,0,7192
6665,9206,5563,8899,1888,0
10498,0,6258,372,20153,4413
0,1899,0,6094,0,1270
4389,2130,6197,2162,1043,0
5688,1632,8376,2004,11205,674
5057,9271,5367,2315,436,6769
12965,0,2991,0,0,7884
2132,0,5859,3988,664,891
1162,0,8554,1070,186,4972
0,13039,894,0,0,5644
4346,2434,362,3090,3697,10318
2186,10323,3532,0,307,2129
3671,0,10784,0,2223,5491
10840,4960,3352,0,5668,5345
2105,4418,9387,0,16685,8253
13751,0,2266,12119,6144,11275
7063,1269,0,3272,8768,0
6345,6155,14005,2193,1906,6663
0,0,3793,8836,1371,0
2468,1900,12995,0,4326,10384
7979,9269,7132,9995,2374,905
2368,4916,7182,1606,4754,0
12581,15231,0,0,4226,8415
0,4136,6505,3061,4661,0
2620,1637,3269,1475,0,6551
0,4699,6260,5726,8878,0
4664,2368,5046,3063,1754,0
0,1498,5162,6837,13213,1396
0,12591,0,0,3170,12197
436,0,6384,4583,2978,10964
8184,2642,10168,7922,3796,7330
2401,7308,5018,0,2416,3644
2645,9653,3693,18255,12110,0
551,1625,4681,0,2884,1135
8444,3799,0,1783,0,15215
0,3014,14701,6885,0,2445
7518,18715,7173,3018,9940,2677
13463,1161,3837,3271,5714,9302
0,10601,10116,7877,2604,8804
0,10084,12679,2870,9542,3101
2698,1166,7252,0,0,4334
9400,7029,17660,3220,21324,10267
0,2781,2677,3660,8235,1151
0,0,0,1302,10711,1751
7302,9031,10693,9549,1530,12315
2784,3486,2928,3950,3378,1018
12319,8538,4877,7099,0,7398
13819,1739,0,8963,6856,6225
0,8772,10861,0,0,0
10236,3302,3610,0,3198,8556
2869,924,12927,0,6488,7359
0,0,1312,9395,0,0
0,1641,4882,908,787,0
0,8857,0,9786,0,2873
0,13168,0,5691,4802,1033
2905,0,1460,930,541,9258
11284,0,7515,0,1487,3703
4151,4770,0,0,1280,3109
10842,9465,0,1443,9302,4962
6929,7384,10376,6532,0,1873
4487,0,2151,6784,12005,6650
14561,7279,16248,0,1881,0
11699,0,4495,4852,4537,900
0,904,0,363,5526,16533
4472,13408,8776,743,1130,1492
1752,3534,5336,0,5720,1021
3449,0,7252,3273,8011,0
6080,7759,0,3494,540,681
5805,13640,5700,559,2126,10978
2610,0,1253,4453,4121,10804
2220,1296,2500,2018,8124,13728
0,1880,6571,10423,12263,0
5760,0,6675,6821,9935,3475
10010,427,3924,6776,186,0
23694,8478,0,5901,6219,1650
5223,5976,11144,7318,6154,12955
1038,0,8587,0,9702,7209
2119,10876,8521,539,0,0
1646,5509,8203,10453,0,5356
1648,7764,0,7215,8197,1738
2029,0,0,6084,8432,1956
0,4805,7866,1109,9359,0
0,6673,734,2711,5802,0
3383,0,0,1828,4738,8592
8996,0,10536,5456,2628,7651
2621,0,10017,6831,8163,0
1654,13086,9710,1618,13702,11426
4553,1030,7378,12185,4896,7643
11183,1655,8451,3332,9716,13512
4645,8575,1443,0,0,0
3364,11428,0,8990,0,0
1146,0,1621,1465,9590,186
414,2907,5447,5614,7015,3730
5596,1261,6099,2735,0,0
8393,0,882,4189,0,9279
0,3655,540,908,0,8822
0,7170,1786,910,6012,0
5900,451,1983,0,9119,1157
0,0,3425,2008,2618,0
2388,2982,1957,6184,3492,8876
8631,0,187,16277,8559,0
24381,0,8998,0,0,0
11797,3939,5845,1449,3563,0
11873,13312,723,4912,0,792
792,0,187,11774,9080,4143
8620,3365,3052,7312,7993,4434
2346,8427,0,5927,15283,1031
0,15082,12465,3461,0,3869
2006,1155,14701,7335,6871,906
0,6473,363,10189,11677,664
5465,1166,1986,545,3199,0
4722,9117,9185,364,3997,11143
1147,0,0,1975,5685,8839
7222,3521,8692,0,8787,306
3020,3685,4645,364,3464,7208
0,9025,2805,7221,5376,6726
6482,11938,0,6484,0,1506
0,2400,4703,2966,2391,2395
2636,0,2696,543,7786,9710
0,0,7005,0,672,3159
3902,5932,9979,1075,6378,1151
10468,10311,13527,0,3220,1925
1885,5550,7692,1988,921,0
4252,7113,10627,3092,8524,13836
9441,0,0,8996,3452,17778
6044,8395,18524,0,9730,13785
16047,2452,5825,3826,10228,0
7467,0,3572,3419,0,2122
0,10400,2829,9950,0,8385
0,7323,8753,0,15049,0
7602,4580,0,1451,1876,9021
5007,688,0,8998,672,0
10912,11420,0,0,1651,9823
0,7248,6029,15175,1873,0
7516,9263,0,4722,4996,8614
0,0,0,2902,0,5675
